band,artist_id
:Of The Wand & The Moon:,39343
Aage Juhl Thomsens Orkester,2982922
Aage Thygesen,4468095
Aase Ziegler,3736536
Ache,758954
Afsky,4776179
Agnes Obel,1679804
Aksel Schiøtz,1287454
Albert Høeberg,15453609
Alberte,462449
Alex Puddu,527548
Alien Force,2088553
Allan Olsen,316074
Alrune Rod,874331
Amdi Petersen Armé,937840
Andreas Odbjerg,5263640
Anker Skjoldborgs Danseorkester,3442958
Ankerstjerne,2627197
Anne Dorte Michelsen,562336
Anne Linnet,257747
Anne Linnet Band,1252133
Annette Bjergfeldt,1859909
Aqua,38862
Arrigt Antræk,596302
Artillery,405691
Asinhell,13256076
Aura Dione,2499232
Axel Boesen,2982933
Baby Woodrose,537044
Back To Back,69009
Balstyrko,1392712
Bamses Venner,568480
Barcode Brothers,74273
Beast,5412812
Beefeaters,1023799
Benal,4674688
Bent Fabricius-Bjerre,660412
Bent Fabricius-Bjerres Orkester,3857274
Bersærk,4662760
Bifrost,707376
Big Fat Snake,453030
Bikstok Røgsystem,272410
Birthe Kjær,689305
Birthe Wilke,1825984
Bjarne Lisby,1810425
Bjørn Tidmand,1448416
Blast Furnace,1295287
Bliss,16712
Bobo Moreno,1043554
Bodil Steen,3464060
Brdr. Olsen,669860
Bremer/McCoy,4362623
Brother Brown,4483
Bruno Henriksens Arena Orkester,3738387
Burhan G,377590
Burning Red Ivanhoe,1018058
Børge Friis Med Rytmikere,1396117
Børge Rosenbaum,3822166
C. V. Jørgensen,464793
C.K,4554933
Cabal,5187703
Carl Fischer,3736538
Carpark North,308262
Causa Sui,497561
Chief 1,109366
Choir Of Young Believers,865894
Christian Arhoff,3017772
Christian Gottschalch,4276213
Christopher,2696987
Claus Hempler,316075
Clausen & Petersen,762783
Croatian Amor,2488562
Culpepers Orchard,1345015
Cut 'N Move,121163
Cæsar,606202
D-A-D,272991
DJ Alligator Project,94019
Daily Fauli,1402353
Dalton,1815467
Dan Turèl & Sølvstjernerne,731066
Danseorkestret,684843
Danser med Drenge,521401
Day Of Phoenix,1014340
Daze,13538
De Eneste To,1978034
De Nattergale,727944
De Tre Fra Radioen,11587673
Delta Blues Band,762784
Delta-Cross Band,762797
Den Gale Pose,472460
Den Sorte Skole,914234
Det Brune Punktum,471802
Det Kongelige Kapel,1297439
Dirch Passer,743091
Diskofil,365625
Dizzy Mizz Lizzy,257957
Djuma Soundsystem,157189
Dodo and the Dodo's,638330
Dorthe Kollo,692602
Dr. Baker,38417
Drori-Hansen Furniture,396475
Dynatron,3175199
Dúné,855152
Eddie Russell,3029220
Edi Laider,6199231
Efterklang,234846
Elisabeth,652254
Ellen Gottschalch,2135584
Elo Magnussen Og Hans Orkester,2986834
Elsa Jena,3547111
Elsa Sigfúss,3151666
Erann DD,39388
Erik Michaelsen,3117107
Erik Tuxen Og Hans Orkester,3736771
Erika de Casier,9939589
Ernst Borgstrøm,2228541
Fate,1001887
Filur,3341
Fini Henriques,1624326
Flemming Bamse Jørgensen,692594
Fletch,32147
Fleur De Lis,2780728
Folkeklubben,2950045
Four Jacks,59765
Frans Andersson,2986742
Frederik Jensen,3226275
Frederik d. IX,4490529
Fyrtårnet Og Bivognen,8115920
Gangway,328477
Gasolin,230853
Gellin & Borgstrøm,2228542
Gerda Og Ulrik Neumann,3736531
Gilli,2719102
Gitte Hænning,689281
Gnags,186531
Gobs,11430929
Gorilla Angreb,776433
Grand Avenue,751352
Grete Klitgaard,2126791
Gry,522462
Guldimund,9715729
Gunnar Lemvigh,3170159
Gustav Winckler,692592
Halberg-Larsen,684846
Hannah Bjarnhof,2968613
Hanne Boel,63078
Harlem Kiddies,525608
Hatesphere,272366
Helge Jacobsen,312967
Helge Nissen,3297005
Helge Rungwald,3857298
Hellas,6735612
Helofon Danseorkester,4276216
Henning Stærk,539937
Henry Skjær,2634073
Her Personal Pain,870303
Herman D. Koppel,672029
Hjalmer,5561068
Hjertestop,1315678
Holger Hansen,3760708
Holger Pedersen,3170156
Hugorm,2515504
Huldre,3747127
Ib Schønberg,2029792
Iceage,1599156
Icekiid,8046764
Ida Corr,203906
Ida Laurberg,7418168
Illdisposed,256131
Infernal,38885
Infernal Torment,309935
Inga Kordt,3442955
Ingeborg Brams,4852655
Ingelise Rune,3852054
Jens Warny Og Hans Orkester,3736684
John Mogensen,689274
Johnny Deluxe,494585
Johnny Madsen,727929
Johnny Reimar,793732
Jokeren,489732
Jomfru Ane Band,762840
Jonas Johansen,1267550
Jung,7203000
Junior Senior,56316
Jørgen Ingmann,692574
Kai Ewans Og Hans Orkester,3786948
Kai Ewans' Danseorkester,3738379
Kai Julian,5848276
Kai Julians Danseorkester,7846056
Kai Julians Orkester,2536925
Karen Jønsson,1398367
Kashmir,217355
Kasper Winding,343725
Katinka,4869766
Kellermensch,1923647
Kenneth Knudsen,315703
Kesi,2644206
Kim Larsen,169958
Kim Larsen & Bellami,924384
Kim Larsen & Kjukken,709639
Kim Larsen And Jungledreams,1060594
King Diamond,252162
Kjeld Bonfils,752898
Kjeld Nørregaard,3792345
Klaus Schønning,359803
Kliche,484007
Knud Heglund,3170157
Konkhra,278379
Konvent,6498264
Kristine Blond,76720
Kōya,14431223
L.O.C.,489717
LLNN,4199789
Laban,88747
Laid Back,8729
Lamin,12736460
Lars Hug,561541
Lars Lilholt,649116
Lars Lilholt Band,568458
Lars Muhl,612644
Leo Mathisens Band,2872300
Leo Mathisens Orkester,2563091
Lex & Klatten,885955
Lily Broberg,2127584
Lis Sørensen,250436
Little Jam,16228
Liva Weel,2406153
Livløs,5514818
Los Retardos,596307
Lost Kids,444513
Louis Preils Danseorkester,3788908
Love Shop,468883
Lower,2606039
Ludvig Brandstrup,954899
Lukas Graham,2791034
Lulu Rouge,740448
Lulu Ziegler,3094897
MC Einar,489720
ML Buch,5600702
Maceration,2800299
Mads Langer,1032769
Magtens Korridorer,667866
Malk De Kojin,287559
Malurt,250432
Marguerite Viby,2406152
Marie Key,899263
Marius Jacobsen,3223211
Marvelous Mosell,3320772
Me & My,33894
Medina,1544699
Mental Generation,40110
Mercyful Fate,251799
Mew,262995
Michael Falch,426630
Michael Hardinger,715957
Michael Learns To Rock,333403
Mikael Simpson,247991
Mogens Wieth,1660268
Monrad & Rislund,692587
Moral,510823
Moses,2693970
Mund De Carlo,1592447
Myrkur,4001024
Mythic Sunship,3156119
MØ,1883733
Møl,4239619
Nanna,650998
Natasja,132551
Nekromantix,304789
Nephew,258050
News,250400
Niels Hansen,4097775
Niels Hausgaard,727933
Niels-Henning Ørsted Pedersen,285231
Night Fever,1694974
Nik & Jay,387851
Nina & Frederik,640070
No Hope For The Kids,1232370
Noir,148640
Nortt,264031
Oh Land,1707752
One Two,250441
Opiate,401
Oscar Stribolt,4097821
Osvald Helmuth,1339617
Otto Brandenburg,539935
Otto Lington,1912200
Otto Lington Og Hans Lingtonians,3736781
Otto Lington Og Hans Orkester,3786935
Outlandish,220035
Ove Sprogøe,2088309
Palle Mikkelborg,237981
Pan,186119
Papa Bue's Viking Jazz Band,271486
Papir,2055186
Pernille Rosendahl,56489
Peter Sommer,273097
Peter Sørensen,1481371
Phlake,4424071
Poul Krebs,568464
Poul Reichhardt,1285803
Povl Dissing,316077
Povl Dissing & Benny Andersen,1703828
Powersolo,464765
Pretty Maids,277227
Pronto,3519131
Psyched Up Janis,257293
Puddu Varano,40716
På Slaget 12,689272
Raquel Rastenni,1215329
Rasmus Nøhr,396235
Rasmus Seebach,1012519
Rasmus Walter,3372262
Ray Dee Ohh,602426
Red Warszawa,906023
Robert Storm Petersen,3874781
Rocazino,577753
Rockers By Choice,489715
Rollo & King,669861
Rot Away,9829798
Royal Hunt,373253
Rugsted Kreutzfeldt,762785
Røde Mor,758950
S.A.M.,3088584
Safri Duo,4015
Sanne Salomonsen,232045
Saturnus,468181
Saybia,257976
Scala Teatrets Orkester,3736779
Scarlet Pleasure,3706714
Sebastian,250428
Secret Oyster,707382
Shit & Chanel,1069076
Shu-bi-dua,250431
Sir Henry and his Butlers,605570
Sivas,1622094
Skagarack,568481
Skousen & Ingemann,532042
Sleep Party People,1533658
Sleiman,5134104
Slåbrock Band,1292568
Sneakers,2659274
Sods,289759
Sort Sol,275907
Soulmagic,96207
Spids Nøgenhat,1525304
Spleen United,361945
Starfuckers,707598
Statsradiofoniens Symfoniorkester,5558620
Steppeulvene,762948
Susi Hyldgaard,326376
Suspekt,489713
Svend Asmussen,95459
Svend Asmussen Sextet,2046112
Svend Asmussens Kvintet,4310416
Svend Asmussens Orkester,2232743
Svend Asmussens Skandia Trio,3738699
Swan Lee,89814
Sylvester Og Svalerne,762839
Sys Bjerre,760455
Sys Gregers,1926904
Søren Huss,771237
Søren Kragh-Jacobsen,707368
Søs Fenger,539938
TNT,99571
Teddy Petersen Og Hans Orkester,3736769
Tenna Frederiksen,4097774
The Boulevard Connection,27520
The Danish Sharks,1928202
The Kordt Sisters,2425462
The Minds Of 99,3489161
The Okey-Dokies,2986738
The Old Man & The Sea,1589669
The Psyke Project,692229
The Raveonettes,200321
The Sandmen,535750
The Savage Rose,401513
The Seebach Band,431736
Thomas Blachman,435659
Thomas Buttenschøn,760457
Thomas Helmig,203916
Thomas Helmig Brothers,1270023
Thors Hammer,930327
Tim Christensen,257958
Tina Dickow,316085
Tobias Rahim,4435599
Tommy Seebach,493503
Topgunn,2425531
Trentemøller,117914
Trille,707372
Trine Dyrholm,924338
Tørfisk,1039202
Tøsedrengene,426633
Uffe Lorentzen,1598223
Ulrik Neumann,727951
Under Byen,239257
Undergang,1805807
Usipian,1444690
VOLA,3652537
Valdemar Davids,2986835
Valdemar Schiøler Linck,3176060
Veto,558507
Victor Cornelius,727966
Vilhelm Herold,1233636
Vinnie Who,1736469
Volbeat,537021
Vulvatorious,11197568
When Saints Go Machine,1191739
Winstrup Olesen's Bellevue Orkester,5939153
Witch Cross,1521273
Xenoblight,6298973
Yasmin,157594
Young Flowers,1640133
tv-2,465093
Østkyst Hustlers,396477
